time,temp
24.76,2025-04-2104:54:51
25.76,2025-04-2105:42:09
25.76,2025-04-2105:53:15
24.76,2025-04-2106:51:04
25.76,2025-04-2107:30:27
25.76,2025-04-2107:42:10
25.76,2025-04-2107:53:05
24.76,2025-04-2108:47:19
24.76,2025-04-2108:58:14
22.76,2025-04-2109:35:39
22.76,2025-04-2109:46:53
22.76,2025-04-2109:57:42
21.76,2025-04-2110:45:35
21.76,2025-04-2110:56:31
20.76,2025-04-2111:27:06
20.76,2025-04-2111:40:43
20.76,2025-04-2111:51:47
17.76,2025-04-2113:16:54
17.76,2025-04-2113:44:40
17.76,2025-04-2113:55:35
17.76,2025-04-2114:38:00
17.76,2025-04-2114:49:17
17.76,2025-04-2115:00:07
17.76,2025-04-2115:37:28
17.76,2025-04-2115:48:46
17.76,2025-04-2115:59:38
17.76,2025-04-2116:48:42
17.76,2025-04-2116:59:26
17.76,2025-04-2117:37:07
17.76,2025-04-2117:48:12
17.76,2025-04-2117:59:18
17.76,2025-04-2118:49:08
17.76,2025-04-2118:59:51
17.76,2025-04-2119:27:12
17.76,2025-04-2119:39:28
17.76,2025-04-2119:50:37
16.76,2025-04-2120:33:31
16.76,2025-04-2120:45:30
